date,cases,deaths
2020-01-22,1,0
2020-01-23,1,0
2020-01-24,2,0
2020-01-25,2,0
2020-01-26,5,0
2020-01-27,6,0
2020-01-28,6,0
2020-01-29,7,0
2020-01-30,7,0
2020-01-31,8,0
2020-02-01,9,0
2020-02-02,9,0
2020-02-03,11,0
2020-02-04,11,0
2020-02-05,11,0
2020-02-06,11,1
2020-02-07,11,1
2020-02-08,11,1
2020-02-09,11,1
2020-02-10,11,1
2020-02-11,12,1
2020-02-12,12,1
2020-02-13,13,1
2020-02-14,13,1
2020-02-15,13,1
2020-02-16,13,1
2020-02-17,13,2
2020-02-18,14,2
2020-02-19,14,2
2020-02-20,14,2
2020-02-21,17,2
2020-02-22,17,2
2020-02-23,17,2
2020-02-24,18,2
2020-02-25,18,2
2020-02-26,20,2
2020-02-27,21,2
2020-02-28,23,2
2020-02-29,34,3
2020-03-01,40,3
2020-03-02,62,8
2020-03-03,81,9
2020-03-04,116,13
2020-03-05,182,14
2020-03-06,231,19
2020-03-07,377,22
2020-03-08,492,25
2020-03-09,754,31
2020-03-10,1039,34
2020-03-11,1388,40
2020-03-12,1799,44
2020-03-13,2342,51
2020-03-14,2973,61
2020-03-15,3784,72
2020-03-16,4754,101
2020-03-17,6302,120
2020-03-18,9220,161
2020-03-19,14242,223
2020-03-20,19157,267
2020-03-21,26480,353
2020-03-22,33767,447
2020-03-23,43904,597
2020-03-24,53896,802
2020-03-25,68580,1085
2020-03-26,85063,1394
2020-03-27,102617,1793
2020-03-28,122990,2333
2020-03-29,141759,2757
2020-03-30,163711,3403
2020-03-31,186755,4337
2020-04-01,213139,5385
2020-04-02,241861,6654
2020-04-03,277065,8002
2020-04-04,310743,9393
2020-04-05,335461,10892
2020-04-06,365324,12438
2020-04-07,395655,14605
2020-04-08,428227,16688
2020-04-09,462074,18656
2020-04-10,495203,21162
2020-04-11,526392,22919
2020-04-12,553614,24597
2020-04-13,578519,25726
2020-04-14,603930,28890
2020-04-15,633955,31354
2020-04-16,666405,33633
2020-04-17,697441,35543
2020-04-18,725180,37059
2020-04-19,750199,39589
2020-04-20,776792,41410
2020-04-21,802274,44173
2020-04-22,831047,46204
2020-04-23,862705,48029
2020-04-24,900105,50720
2020-04-25,934069,52675
2020-04-26,959548,53806
2020-04-27,982316,55191
2020-04-28,1006420,57439
2020-04-29,1034343,60031
2020-04-30,1063317,62149
2020-05-01,1096359,63962
2020-05-02,1126331,65475
2020-05-03,1151500,66848
2020-05-04,1173154,67838
2020-05-05,1197383,70295
2020-05-06,1221046,72897
2020-05-07,1248536,74927
2020-05-08,1275917,76585
2020-05-09,1301501,78063
2020-05-10,1321625,78904
2020-05-11,1339390,79830
2020-05-12,1360896,81470
2020-05-13,1381512,83150
2020-05-14,1408311,84922
2020-05-15,1433217,86380
2020-05-16,1457729,87461
2020-05-17,1476247,88223
2020-05-18,1497868,89241
2020-05-19,1518476,90777
2020-05-20,1540546,92273
2020-05-21,1566503,93605
2020-05-22,1589865,94805
2020-05-23,1612165,95907
2020-05-24,1632829,96547
2020-05-25,1651941,97266
2020-05-26,1670120,97921
